date,kib_bencana_id,disaster_type,province,city,district,village,posko_id,posko_name,item_category,item_name,unit,anomaly_type,severity,score,target_need_qty,current_stock_qty,requested_qty,distributed_qty,message,action_suggestion
2024-05-18,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,air_sanitasi,air_bersih,liter,critical_stock,medium,0.62,14762.21,9978.9,16288.72,16454.64,Stok hanya 0.38 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-19,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,air_sanitasi,air_minum,liter,critical_stock,medium,0.55,2183.71,1770.15,2122.41,2154.49,Stok hanya 0.45 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-29,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,air_sanitasi,air_minum,liter,critical_stock,medium,0.58,2048.3,1545.84,2244.16,2292.52,Stok hanya 0.42 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-06-03,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,perbekalan_pangan,beras,kg,critical_stock,medium,0.59,363.47,265.65,408.0,334.77,Stok hanya 0.41 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-04-23,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kebersihan,hygiene_kit,paket,critical_stock,medium,0.66,105.67,65.37,118.08,121.78,Stok hanya 0.34 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-04-28,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kebersihan,hygiene_kit,paket,critical_stock,medium,0.74,81.03,38.56,91.12,94.56,Stok hanya 0.26 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-10,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kesehatan,masker,pcs,demand_spike,high,5.95,3088.96,13935.3,3344.22,2905.67,Kebutuhan melonjak 1.36x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-19,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kesehatan,masker,pcs,demand_spike,medium,3.28,1991.36,4370.04,2212.06,1895.76,Kebutuhan melonjak 1.10x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-29,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kesehatan,masker,pcs,critical_stock,medium,0.57,1904.85,1480.77,1889.33,1662.16,Stok hanya 0.43 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-06-03,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kesehatan,masker,pcs,critical_stock,medium,0.59,1654.44,1219.86,1648.16,1618.2,Stok hanya 0.41 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
