kib_bencana_id,disaster_type,posko_id,posko_name,item_category,item_name,unit,series_length,train_until,test_start,test_end,best_model,mae,mape
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,air_sanitasi,air_bersih,liter,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,674.8351,4.8098
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,air_sanitasi,air_minum,liter,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,99.6986,4.7431
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,perbekalan_pangan,beras,kg,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,13.4829,4.0136
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,kebersihan,hygiene_kit,paket,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,2.4314,3.749
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,kesehatan,masker,pcs,45,2024-05-27,2024-05-28,2024-06-03,naive_last,96.2686,5.6648
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,perbekalan_pangan,mie_instan,bungkus,45,2024-05-27,2024-05-28,2024-06-03,naive_last,92.5571,7.6276
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,kesehatan,obat_ispa,paket,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,3.0831,4.2553
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,kebersihan,pembalut,pcs,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,7.9067,8.1338
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,kebersihan,popok_bayi,pcs,45,2024-05-27,2024-05-28,2024-06-03,naive_last,17.6871,4.7712
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,perbekalan_pangan,protein_kaleng,kaleng,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,12.6071,4.5836
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,shelter,selimut,unit,45,2024-05-27,2024-05-28,2024-06-03,naive_last,5.52,5.773
BNC-2024-GM-RUANG,gunung_meletus,POSKO-1A3E3900,Posko Kisihang,shelter,tikar,unit,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,2.7622,4.1977
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,air_sanitasi,air_bersih,liter,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,190.4243,5.1309
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,air_sanitasi,air_minum,liter,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,32.9286,5.282
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,perbekalan_pangan,beras,kg,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,4.1947,4.343
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,kebersihan,hygiene_kit,paket,45,2024-05-27,2024-05-28,2024-06-03,naive_last,0.9229,4.7621
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,kesehatan,masker,pcs,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,26.8914,5.4616
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,perbekalan_pangan,mie_instan,bungkus,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,20.3498,5.5559
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,kesehatan,obat_ispa,paket,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,1.5012,6.2214
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,kebersihan,pembalut,pcs,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,0.5757,2.1416
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,kebersihan,popok_bayi,pcs,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,2.5233,5.4352
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,perbekalan_pangan,protein_kaleng,kaleng,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,4.2616,5.7821
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,shelter,selimut,unit,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,1.0582,3.7065
BNC-2024-GM-RUANG,gunung_meletus,POSKO-68DD7789,Posko Pumpente,shelter,tikar,unit,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,0.5382,2.7917
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,air_sanitasi,air_bersih,liter,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,282.0139,4.908
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,air_sanitasi,air_minum,liter,45,2024-05-27,2024-05-28,2024-06-03,naive_last,54.19,6.0604
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,perbekalan_pangan,beras,kg,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,7.7176,5.5135
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,kebersihan,hygiene_kit,paket,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,1.4571,5.111
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,kesehatan,masker,pcs,45,2024-05-27,2024-05-28,2024-06-03,naive_last,53.8286,7.3043
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,perbekalan_pangan,mie_instan,bungkus,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,36.0371,6.4283
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,kesehatan,obat_ispa,paket,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,1.4892,4.2542
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,kebersihan,pembalut,pcs,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,3.15,7.0527
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,kebersihan,popok_bayi,pcs,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,1.8253,3.5479
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,perbekalan_pangan,protein_kaleng,kaleng,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,3.8888,3.58
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,shelter,selimut,unit,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,0.9914,2.3785
BNC-2024-GM-RUANG,gunung_meletus,POSKO-7BD41A07,Posko Boto,shelter,tikar,unit,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,1.6647,5.9693
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,air_sanitasi,air_bersih,liter,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,306.8078,4.0656
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,air_sanitasi,air_minum,liter,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,76.9329,5.6748
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,perbekalan_pangan,beras,kg,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,10.2031,4.8667
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,kebersihan,hygiene_kit,paket,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,1.8443,4.4624
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,kesehatan,masker,pcs,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,75.3543,6.5999
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,perbekalan_pangan,mie_instan,bungkus,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,59.1043,7.7241
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,kesehatan,obat_ispa,paket,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,1.7259,3.2089
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,kebersihan,pembalut,pcs,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,3.4965,5.3085
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,kebersihan,popok_bayi,pcs,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,3.4451,4.3698
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,perbekalan_pangan,protein_kaleng,kaleng,45,2024-05-27,2024-05-28,2024-06-03,naive_last,6.4914,4.0436
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,shelter,selimut,unit,45,2024-05-27,2024-05-28,2024-06-03,naive_last,2.8657,4.5314
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8319164F,Posko Tulusan,shelter,tikar,unit,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,2.7886,6.4427
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8771B835,Posko Laing,air_sanitasi,air_bersih,liter,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,210.65,3.8569
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8771B835,Posko Laing,air_sanitasi,air_minum,liter,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,61.0024,6.6831
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8771B835,Posko Laing,perbekalan_pangan,beras,kg,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,5.2392,3.4893
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8771B835,Posko Laing,kebersihan,hygiene_kit,paket,45,2024-05-27,2024-05-28,2024-06-03,moving_average_7,1.2955,4.2
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8771B835,Posko Laing,kesehatan,masker,pcs,45,2024-05-27,2024-05-28,2024-06-03,naive_last,38.1157,5.2659
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8771B835,Posko Laing,perbekalan_pangan,mie_instan,bungkus,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,33.2757,6.1668
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8771B835,Posko Laing,kesehatan,obat_ispa,paket,45,2024-05-27,2024-05-28,2024-06-03,naive_last,2.12,5.4826
BNC-2024-GM-RUANG,gunung_meletus,POSKO-8771B835,Posko Laing,kebersihan,pembalut,pcs,45,2024-05-27,2024-05-28,2024-06-03,seasonal_naive_7,2.1043,4.7212
