Tanggal,NamaBarang,Satuan,Masuk,Keluar,BeratSatuan,BeratMasuk,Provinsi,Tujuan,Gudang,AsalBantuan,Sumber,Kategori,Spesifikasi,Nomor Dokumen
"31/12/2025, 07.00",BERAS 50KG DSP,KARUNG,400,"50,000000","20,000000","0,000000",ACEH,NULL,POS TERPADU LANUD SIM,DSP,FOOD,PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",BERAS 25 KG DSP,KARUNG,6,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",AIR MINERAL DSP,DUS,10,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",SEMBAKO DSP,PAKET,30,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",MIE INSTAN DSP,DUS,10,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",POP MIE DSP,DUS,3,3,"3,000000","9,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,DSP,FOOD,PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",MIE INSTAN DSP,DUS,30,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",BENDERA DSP,KOLI,1,1,"60,000000","0,060000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,DSP,NON FOOD,NON PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",TIKAR DSP,LEMBAR,26,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",BISKUIT DSP,DUS,1,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",BISKUIT DSP,DUS,5,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",PEMBALUT WANITA DSP,DUS,3,"33,000000","0,000000","0,100000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,DSP,NON FOOD,NON PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",PAMPERS DSP,DUS,2,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",BISKUIT DSP,DUS,5,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",JERIGEN DSP,PAKET,1,NULL,"0,000000","0,000000",ACEH,LHOKSEUMAWE,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",AIR MINERAL DSP,DUS,10,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",SEMBAKO DSP,PAKET,10,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",BERAS 50KG DSP,KARUNG,6,"50,000000","0,000000","0,300000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,DSP,FOOD,PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",MIE INSTAN DSP,DUS,30,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",MATRAS DSP,LEMBAR,2,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",AIR MINERAL DSP,DUS,3,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",PAMPERS DSP,DUS,1,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",PEMBALUT WANITA DSP,DUS,1,"33,000000","0,000000","0,030000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,DSP,NON FOOD,NON PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",BISKUIT DSP,DUS,5,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",BISKUIT DSP,DUS,5,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",SARUNG DSP,DUS,5,"4,000000","0,000000","0,020000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,DSP,NON FOOD,NON PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",MATRAS DSP,LEMBAR,2,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",SEMBAKO DSP,PAKET,15,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",MIE INSTAN DSP,DUS,30,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",BERAS 50KG DSP,KARUNG,4,"50,000000","0,000000","0,200000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,DSP,FOOD,PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",SELIMUT DSP,LEMBAR,2,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",SEMBAKO DSP,PAKET,10,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",BISKUIT DSP,DUS,5,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",AIR MINERAL DSP,DUS,10,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",MATRAS DSP,LEMBAR,2,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",BERAS 50KG DSP,KARUNG,2,"50,000000","0,000000","0,100000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,DSP,FOOD,PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",BISKUIT DSP,DUS,5,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",MAKANAN SIAP SAJI DSP,DUS,10,NULL,"0,000000","0,000000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",SARUNG DSP,DUS,5,"4,000000","0,000000","0,020000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,DSP,NON FOOD,NON PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",BERAS 50KG DSP,KARUNG,1,"50,000000","0,000000","0,050000",ACEH,ACEH TENGGARA,POS TERPADU LANUD SIM,DSP,FOOD,PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",BERAS 25 KG DSP,KARUNG,12,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",AIR MINERAL DSP,DUS,40,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",SEMBAKO DSP,PAKET,50,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",MIE INSTAN DSP,DUS,20,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",SELIMUT DSP,LEMBAR,2,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",PAKAIAN DSP,KARUNG,7,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",MATRAS DSP,LEMBAR,5,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",KASUR LIPAT DSP,KARUNG,10,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",MAKANAN SIAP SAJI DSP,DUS,10,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",PAKAIAN DSP,KARUNG,2,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",TENDA KELUARGA DSP,Unit,10,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",PAKAIAN DSP,KARUNG,6,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",PORTABLE TANK DSP,PAKET,2,NULL,"0,000000","0,000000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,BNPB,NON FOOD,Non Permakanan,NULL,NULL
"31/12/2025, 07.00",GENSET 2800W DSP,PCS,5,"25,000000","0,000000","0,130000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,DSP,NON FOOD,NON PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",KOMPOR PORTABLE DSP,SET,5,"17,000000","0,000000","0,090000",ACEH,ACEH TAMIANG,POS TERPADU LANUD SIM,DSP,NON FOOD,NON PERMAKANAN,NULL,NULL
"31/12/2025, 07.00",MAKANAN SIAP SAJI DSP,DUS,10,NULL,"0,000000","0,000000",ACEH,NAGAN RAYA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",SEMBAKO DSP,PAKET,11,NULL,"0,000000","0,000000",ACEH,NAGAN RAYA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",MIE INSTAN DSP,DUS,11,NULL,"0,000000","0,000000",ACEH,NAGAN RAYA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",SEMBAKO DSP,PAKET,30,NULL,"0,000000","0,000000",ACEH,NAGAN RAYA,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",SEMBAKO DSP,PAKET,30,NULL,"0,000000","0,000000",ACEH,ACEH TENGAH,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
"31/12/2025, 07.00",SEMBAKO DSP,PAKET,30,NULL,"0,000000","0,000000",ACEH,ACEH TENGAH,POS TERPADU LANUD SIM,BNPB,FOOD,Permakanan,NULL,NULL
