Kecamatan,Desa,Pos Pengungsi,total_pengungsi,jumlah_kk,laki_laki,perempuan,balita_bawah_1th,balita_1_5th,anak_6_12th,anak_laki,anak_perempuan,remaja,remaja_laki,remaja_perempuan,dewasa,dewasa_laki,dewasa_perempuan,lansia,lansia_laki,lansia_perempuan,ibu_hamil,ibu_menyusui,disabilitas,rasio_perempuan,rasio_anak,rasio_lansia,rasio_ibu_hamil_menyusui,rasio_disabilitas,rata_anggota_kk
Cianjur,Babakan Karet,Pos Tangkil Kidul RW 10,231,60,100,131,3,21,19,11,8,18,12,6,163,55,108,11,4,11,1,2,1,0.5671,0.1861,0.0476,0.013,0.0043,3.85
Cianjur,Babakan Karet,posko 1 RW 01,80,30,43,37,2,8,19,12,7,18,11,7,72,37,35,5,1,4,1,1,0,0.4625,0.3625,0.0625,0.025,0.0,2.67
Cianjur,Babakan Karet,posko 2 kp Kareo,273,70,124,149,8,23,37,11,16,26,13,13,115,50,65,74,35,39,3,12,0,0.5458,0.2491,0.2711,0.0549,0.0,3.9
Cianjur,Babakan Karet,posko 2 rt 03 rw 01,139,42,46,43,13,30,38,23,15,29,14,15,77,42,35,12,4,8,4,20,0,0.3094,0.5827,0.0863,0.1727,0.0,3.31
Cianjur,Babakan Karet,posko 2 RW 02,37,15,15,22,2,5,2,0,2,4,0,4,28,14,14,3,1,2,2,2,0,0.5946,0.2432,0.0811,0.1081,0.0,2.47
Cianjur,Babakan Karet,Posko Cipicung RT 03 RW 02,201,64,103,98,3,14,34,17,17,23,12,11,113,60,53,14,7,7,2,6,2,0.4876,0.2537,0.0697,0.0398,0.01,3.14
Cianjur,Babakan Karet,posko rt 02 rw 01,69,21,36,33,2,6,3,0,33,10,9,1,39,19,20,6,2,4,1,3,0,0.4783,0.1594,0.087,0.058,0.0,3.29
Cianjur,Babakan Karet,posko rt 03 rw 01,41,11,24,17,2,5,4,2,2,2,2,0,17,9,8,5,2,3,0,3,0,0.4146,0.2683,0.122,0.0732,0.0,3.73
Cianjur,Babakan Karet,posko rt 04 rw 01,401,98,165,236,8,9,59,28,31,35,14,21,290,117,173,13,8,5,3,8,0,0.5885,0.1895,0.0324,0.0274,0.0,4.09
Cianjur,Babakan Karet,Posko Tangkil Kidul RT 02 RW 10,249,50,132,117,3,35,31,18,13,17,10,7,131,67,64,32,15,17,1,9,0,0.4699,0.2771,0.1285,0.0402,0.0,4.98
Cianjur,Babakan Karet,Salahuni RW 03,444,215,217,227,10,59,50,27,23,20,11,9,263,118,145,42,20,22,4,27,0,0.5113,0.268,0.0946,0.0698,0.0,2.07
