Kecamatan,Desa,Pos Pengungsi,target_beras_kg_hari,target_mie_instan_bks_hari,target_minyak_kg_hari,target_protein_kg_hari,target_mpasi_pkt_hari,target_air_bersih_ltr_hari,target_air_minum_ltr_hari,target_air_botol600ml_hari,target_keran_air,target_luas_shelter_m2,target_alas_tidur,target_luas_lahan_m2,target_tempat_sampah_100l,target_tempat_sampah_besar,target_jamban,target_tempat_cuci,target_panci_baskom_pkt,target_ember_jerigen_pkt,target_kompor,target_sabun_mandi_bln,target_sabun_cuci_bln,target_pembalut_bln,target_popok_bayi_bln,target_sikat_pasta_gigi_bln
Cianjur,Babakan Karet,Pos Tangkil Kidul RW 10,92.4,1155,4.62,11.55,24,3465,577.5,1155,2,693,231,6930,5,1,12,3,60,60,60,231,231,131,288,231
Cianjur,Babakan Karet,posko 1 RW 01,32.0,400,1.6,4.0,10,1200,200.0,400,1,240,80,2400,2,1,4,1,30,30,30,80,80,37,120,80
Cianjur,Babakan Karet,posko 2 kp Kareo,109.2,1365,5.46,13.65,31,4095,682.5,1365,2,819,273,8190,6,1,14,3,70,70,70,273,273,149,372,273
Cianjur,Babakan Karet,posko 2 rt 03 rw 01,55.6,695,2.78,6.95,43,2085,347.5,695,1,417,139,4170,3,1,7,2,42,42,42,139,139,43,516,139
Cianjur,Babakan Karet,posko 2 RW 02,14.8,185,0.74,1.85,7,555,92.5,185,1,111,37,1110,1,1,2,1,15,15,15,37,37,22,84,37
Cianjur,Babakan Karet,Posko Cipicung RT 03 RW 02,80.4,1005,4.02,10.05,17,3015,502.5,1005,2,603,201,6030,5,1,11,3,64,64,64,201,201,98,204,201
Cianjur,Babakan Karet,posko rt 02 rw 01,27.6,345,1.38,3.45,8,1035,172.5,345,1,207,69,2070,2,1,4,1,21,21,21,69,69,33,96,69
Cianjur,Babakan Karet,posko rt 03 rw 01,16.4,205,0.82,2.05,7,615,102.5,205,1,123,41,1230,1,1,3,1,11,11,11,41,41,17,84,41
Cianjur,Babakan Karet,posko rt 04 rw 01,160.4,2005,8.02,20.05,17,6015,1002.5,2005,3,1203,401,12030,9,1,21,5,98,98,98,401,401,236,204,401
Cianjur,Babakan Karet,Posko Tangkil Kidul RT 02 RW 10,99.6,1245,4.98,12.45,38,3735,622.5,1245,2,747,249,7470,5,1,13,3,50,50,50,249,249,117,456,249
Cianjur,Babakan Karet,Salahuni RW 03,177.6,2220,8.88,22.2,69,6660,1110.0,2220,3,1332,444,13320,9,1,23,5,215,215,215,444,444,227,828,444
Cianjur,Bojongherang,Kelurahan Bojongherang,1624.0,20300,81.2,203.0,0,60900,10150.0,20300,21,12180,4060,121800,82,9,203,41,872,872,872,4060,4060,2178,0,4060
Cianjur,Bojongherang,RW 05 Kp. Sayang Heulang,18.0,225,0.9,2.25,6,675,112.5,225,1,135,45,1350,1,1,3,1,15,15,15,45,45,20,72,45
Cianjur,Bojongherang,RW 20 Bojong Asih,235.6,2945,11.78,29.45,0,8835,1472.5,2945,3,1767,589,17670,12,2,30,6,118,118,118,589,589,309,0,589
Cianjur,Bojongherang,RW 22 KEBON MANGGU,180.0,2250,9.0,22.5,0,6750,1125.0,2250,3,1350,450,13500,9,1,23,5,90,90,90,450,450,250,0,450
Cianjur,Limbangansari,Pos.1 rw.14,60.0,750,3.0,7.5,7,2250,375.0,750,1,450,150,4500,3,1,8,2,25,25,25,150,150,25,84,150
Cianjur,Limbangansari,Pos.1.14,34.0,425,1.7,4.25,11,1275,212.5,425,1,255,85,2550,2,1,5,1,29,29,29,85,85,45,132,85
Cianjur,Limbangansari,Pos.rw.14,48.0,600,2.4,6.0,16,1800,300.0,600,1,360,120,3600,3,1,6,2,34,34,34,120,120,62,192,120
Cianjur,Mekarsari,Babakan Gasol,96.0,1200,4.8,12.0,30,3600,600.0,1200,2,720,240,7200,5,1,12,3,60,60,60,240,240,12,360,240
Cianjur,Mekarsari,CARINGIN D RT 04 RW 08,18.4,230,0.92,2.3,14,690,115.0,230,1,138,46,1380,1,1,3,1,22,22,22,46,46,23,168,46
Cianjur,Mekarsari,Mekarsari Regency,139.6,1745,6.98,17.45,26,5235,872.5,1745,2,1047,349,10470,7,1,18,4,104,104,104,349,349,194,312,349
Cianjur,Mekarsari,Posko Gabungan Cadot Wetan,54.4,680,2.72,6.8,10,2040,340.0,680,1,408,136,4080,3,1,7,2,51,51,51,136,136,50,120,136
Cianjur,Mekarsari,Posko Mesjid Arrayan,128.0,1600,6.4,16.0,50,4800,800.0,1600,2,960,320,9600,7,1,16,4,80,80,80,320,320,160,600,320
Cianjur,Mekarsari,POSKO RT 3/9,96.0,1200,4.8,12.0,15,3600,600.0,1200,2,720,240,7200,5,1,12,3,60,60,60,240,240,120,180,240
Cianjur,Mekarsari,Raweuy,96.0,1200,4.8,12.0,30,3600,600.0,1200,2,720,240,7200,5,1,12,3,60,60,60,240,240,10,360,240
Cianjur,Mekarsari,RAWEY 1,32.8,410,1.64,4.1,9,1230,205.0,410,1,246,82,2460,2,1,5,1,23,23,23,82,82,41,108,82
Cianjur,Mekarsari,RAWEY 4,14.8,185,0.74,1.85,2,555,92.5,185,1,111,37,1110,1,1,2,1,10,10,10,37,37,12,24,37
Cianjur,Mekarsari,Warung Batu Kaler,168.0,2100,8.4,21.0,20,6300,1050.0,2100,3,1260,420,12600,9,1,21,5,140,140,140,420,420,200,240,420
Cianjur,Mekarsari,Warungbatu 02/03,72.0,900,3.6,9.0,20,2700,450.0,900,1,540,180,5400,4,1,9,2,60,60,60,180,180,90,240,180
Cianjur,Pamoyanan,posko 4 leuwigoong,36.4,455,1.82,4.55,6,1365,227.5,455,1,273,91,2730,2,1,5,1,35,35,35,91,91,40,72,91
Cianjur,Sawahgede,POSKOLAPANG PRAWATASARI (JOGLO),441.6,5520,22.08,55.2,0,16560,2760.0,5520,6,3312,1104,33120,23,3,56,12,373,373,373,1104,1104,0,0,1104
Cianjur,Sayang,posko sayang,1647.6,20595,82.38,205.95,492,61785,10297.5,20595,21,12357,4119,123570,83,9,206,42,1082,1082,1082,4119,4119,1648,5904,4119
Cianjur,Solokpandan,POS RW 15,60.0,750,3.0,7.5,12,2250,375.0,750,1,450,150,4500,3,1,8,2,47,47,47,150,150,85,144,150
Cianjur,Solokpandan,Posko RW 13,100.8,1260,5.04,12.6,14,3780,630.0,1260,2,756,252,7560,6,1,13,3,83,83,83,252,252,95,168,252
Cianjur,Solokpandan,Posko Rw 16,130.0,1625,6.5,16.25,56,4875,812.5,1625,2,975,325,9750,7,1,17,4,86,86,86,325,325,175,672,325
Cianjur,Solokpandan,RW 13 RT 01,134.8,1685,6.74,16.85,7,5055,842.5,1685,2,1011,337,10110,7,1,17,4,103,103,103,337,337,177,84,337
Cianjur,Sukamaju,kp sukamaju,574.4,7180,28.72,71.8,248,21540,3590.0,7180,8,4308,1436,43080,29,3,72,15,699,699,699,1436,1436,640,2976,1436
Cugenang,Benjot,Pos Nurul Ittihad,67.2,840,3.36,8.4,12,2520,420.0,840,1,504,168,5040,4,1,9,2,20,20,20,168,168,59,144,168
Cugenang,Benjot,Posko awlarang rt 03 rw 04,26.8,335,1.34,3.35,4,1005,167.5,335,1,201,67,2010,2,1,4,1,28,28,28,67,67,30,48,67
Cugenang,Benjot,Posko pabrik,139.2,1740,6.96,17.4,25,5220,870.0,1740,2,1044,348,10440,7,1,18,4,111,111,111,348,348,0,300,348
Cugenang,Benjot,Posko sirnagalih,56.0,700,2.8,7.0,19,2100,350.0,700,1,420,140,4200,3,1,7,2,61,61,61,140,140,57,228,140
Cugenang,Cibeureum,Pos Kampung Simpang rt 1 rw 3,583.2,7290,29.16,72.9,38,21870,3645.0,7290,8,4374,1458,43740,30,3,73,15,435,435,435,1458,1458,698,456,1458
Cugenang,Cibeureum,Pos pengungsian cibereum Rt 1 dan 3 Rw 2,103.2,1290,5.16,12.9,14,3870,645.0,1290,2,774,258,7740,6,1,13,3,65,65,65,258,258,0,168,258
Cugenang,Cibeureum,Pos pengungsian Rt2 Rw1,110.0,1375,5.5,13.75,50,4125,687.5,1375,2,825,275,8250,6,1,14,3,101,101,101,275,275,116,600,275
Cugenang,Cibeureum,Pos RT 1 rw6 desa cibereum,425.6,5320,21.28,53.2,31,15960,2660.0,5320,6,3192,1064,31920,22,3,54,11,320,320,320,1064,1064,516,372,1064
Cugenang,Cibeureum,Posko Kp.Cibeureum Kaler RT 08,900.8,11260,45.04,112.6,96,33780,5630.0,11260,12,6756,2252,67560,46,5,113,23,671,671,671,2252,2252,1096,1152,2252
Cugenang,Cibeureum,RT 2,80.8,1010,4.04,10.1,38,3030,505.0,1010,2,606,202,6060,5,1,11,3,95,95,95,202,202,112,456,202
Cugenang,Cibulakan,babalan asri,80.0,1000,4.0,10.0,26,3000,500.0,1000,1,600,200,6000,4,1,10,2,51,51,51,200,200,130,312,200
Cugenang,Cibulakan,dadap,62.4,780,3.12,7.8,24,2340,390.0,780,1,468,156,4680,4,1,8,2,47,47,47,156,156,182,288,156
